Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANOIL,2009-10-15,3,01-O,2010,NICARAGUA,0,0,5400,0,0,5400,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,PANAMA,0,46,348,0,0,394,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,CUBA,7600,7600,5190,0,0,12790,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,JAMAICA,0,0,6168,0,0,6168,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,HAITI,3500,3500,4773,0,0,8273,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,DOMINICAN REPUBLIC,6197,6310,16000,3547,4297,22310,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,25,0,0,25,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,BARBADOS,0,0,15,0,0,15,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,TRINIDAD AND TOBAGO,62,101,750,50,50,851,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,NETHERLANDS ANTILLES,0,0,17,0,0,17,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,COLOMBIA,0,0,5740,0,-750,5740,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,VENEZUELA,6000,6000,12000,0,0,18000,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,PERU,0,0,35051,15600,15600,35051,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,CYPRUS,0,23,23,0,0,46,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,LEBANON,11,11,180,11,11,191,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,SAUDI ARABIA,116,154,1727,0,0,1881,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,QATAR,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,UNITED ARAB EMIRATES,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,INDIA,0,0,3300,0,0,3300,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,MALAYSIA,0,0,4000,0,0,4000,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,SINGAPORE,0,19,0,0,0,19,0,0,1
