CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month
2010,9,15079011,21,169,SC,1,920600,323,322920,347286,SOYBEAN OIL,COL,Colombia,322.92,2010,9
2010,9,15079019,21,815,SC,1,920600,22,21890,20762,SOYBEAN OIL,TTO,Trinidad and Tobago,21.89,2010,9
2010,4,15079011,21,331,MT,1,817800,13,12750,13845,SOYBEAN OIL,GNQ,Equatorial Guinea,12.75,2010,4
2010,6,15079011,21,097,AC,7,230151,33,32254,35877,SOYBEAN OIL,BOL,Bolivia,32.254,2010,6
2010,12,15079011,21,097,ZN,4,250151,89,91309,134082,SOYBEAN OIL,BOL,Bolivia,91.309,2010,12
2010,12,15079090,21,097,SP,7,145200,1,1092,6917,SOYBEAN OIL,BOL,Bolivia,1.092,2010,12
2010,3,15079011,21,770,SP,1,817800,15,14573,16919,SOYBEAN OIL,SUR,Suriname,14.573,2010,3
2010,1,15079011,21,040,MS,1,817800,75,75116,73401,SOYBEAN OIL,AGO,Angola,75.116,2010,1
2010,10,15079011,21,040,PR,1,817800,9,9401,11975,SOYBEAN OIL,AGO,Angola,9.401,2010,10
2010,1,15079011,21,845,SP,7,1010252,115,115092,122387,SOYBEAN OIL,URY,Uruguay,115.092,2010,1
2010,12,15079011,21,097,ZN,4,145200,166,165700,234740,SOYBEAN OIL,BOL,Bolivia,165.7,2010,12
2010,5,15079011,21,158,SP,1,817800,19,18580,21127,SOYBEAN OIL,CHL,Chile,18.58,2010,5
2010,7,15079011,21,331,MT,1,817800,102,10200,11892,SOYBEAN OIL,GNQ,Equatorial Guinea,10.2,2010,7
2010,8,15079011,21,399,SP,1,817800,1,900,1371,SOYBEAN OIL,JPN,Japan,0.9,2010,8
2010,8,15079011,21,586,MS,7,145300,225,225351,248212,SOYBEAN OIL,PRY,Paraguay,225.351,2010,8
2010,11,15079019,21,190,PR,1,920600,152,151560,250188,SOYBEAN OIL,KOR,South Korea,151.56,2010,11
2010,9,15079011,21,586,GO,7,145300,11,10764,12772,SOYBEAN OIL,PRY,Paraguay,10.764,2010,9
2010,4,15079011,21,589,MT,2,227603,75,74565,83700,SOYBEAN OIL,PER,Peru,74.565,2010,4
2010,4,15079011,21,097,AC,7,230151,35,34850,36141,SOYBEAN OIL,BOL,Bolivia,34.85,2010,4
2010,4,15079019,21,275,MG,1,917800,5000,5000000,4178300,SOYBEAN OIL,FRA,France,5000.0,2010,4
2010,11,15079011,21,097,MT,9,250151,109,109776,147341,SOYBEAN OIL,BOL,Bolivia,109.776,2010,11
2010,8,15079011,21,586,SP,9,145300,15,108,270,SOYBEAN OIL,PRY,Paraguay,0.108,2010,8
2010,5,15079011,21,586,PR,7,145300,25,24855,27613,SOYBEAN OIL,PRY,Paraguay,24.855,2010,5
2010,7,15079019,21,845,PR,7,1015500,280,280000,241500,SOYBEAN OIL,URY,Uruguay,280.0,2010,7
2010,5,15079011,21,345,SC,1,920600,10,9942,11452,SOYBEAN OIL,HND,Honduras,9.942,2010,5
2010,5,15079011,21,586,MT,7,910600,146,146080,144204,SOYBEAN OIL,PRY,Paraguay,146.08,2010,5
2010,11,15079011,21,770,SP,1,817800,21,20932,28027,SOYBEAN OIL,SUR,Suriname,20.932,2010,11
2010,8,15079019,21,586,MT,9,145300,20,12013,13160,SOYBEAN OIL,PRY,Paraguay,12.013,2010,8
2010,6,15079011,21,845,SC,7,1010252,125,125269,133094,SOYBEAN OIL,URY,Uruguay,125.269,2010,6
2010,12,15079019,21,815,SC,1,920600,65,64980,81599,SOYBEAN OIL,TTO,Trinidad and Tobago,64.98,2010,12
2010,6,15079011,21,169,SC,1,920600,174,173880,188749,SOYBEAN OIL,COL,Colombia,173.88,2010,6
2010,5,15079011,21,845,SC,7,1015500,200,198840,212400,SOYBEAN OIL,URY,Uruguay,198.84,2010,5
2010,1,15079019,21,193,SC,1,927700,109,108560,105391,SOYBEAN OIL,CIV,Cote D'Ivore,108.56,2010,1
2010,1,15079011,21,845,RS,7,1015500,14,13500,16460,SOYBEAN OIL,URY,Uruguay,13.5,2010,1
2010,11,15079011,21,586,MS,7,145300,38,37193,51044,SOYBEAN OIL,PRY,Paraguay,37.193,2010,11
2010,8,15079011,21,770,SC,1,920600,160,151118,187249,SOYBEAN OIL,SUR,Suriname,151.118,2010,8
2010,1,15079011,21,845,SC,7,1010252,149,149130,177300,SOYBEAN OIL,URY,Uruguay,149.13,2010,1
2010,1,15079011,21,770,MT,1,920600,50,49710,63578,SOYBEAN OIL,SUR,Suriname,49.71,2010,1
2010,7,15079011,21,845,RS,9,1010955,0,0,266,SOYBEAN OIL,URY,Uruguay,0.0,2010,7
2010,10,15079011,21,589,MT,2,227603,497,497100,581400,SOYBEAN OIL,PER,Peru,497.1,2010,10
2010,1,15079011,21,097,AC,7,230151,22,21580,27502,SOYBEAN OIL,BOL,Bolivia,21.58,2010,1
2010,3,15079011,21,589,SC,1,927700,50,49710,62882,SOYBEAN OIL,PER,Peru,49.71,2010,3
2010,2,15079011,21,097,ZN,4,145200,473,472623,552019,SOYBEAN OIL,BOL,Bolivia,472.623,2010,2
2010,12,15079011,21,586,PR,7,145300,2,1658,2332,SOYBEAN OIL,PRY,Paraguay,1.658,2010,12
2010,7,15079019,21,351,MT,1,917800,500,499890,434669,SOYBEAN OIL,HKG,Hong Kong,499.89,2010,7
2010,10,15079011,21,249,ND,1,817800,1,900,1575,SOYBEAN OIL,USA,United States,0.9,2010,10
2010,9,15079011,21,580,SP,1,817800,11,10900,14102,SOYBEAN OIL,PAN,Panama,10.9,2010,9
2010,2,15079011,21,586,MT,7,145300,12,12428,14702,SOYBEAN OIL,PRY,Paraguay,12.428,2010,2
