CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,6,23040090,21,195,PR,1,917800,15506,15505830,5087090,SOYBEAN MEAL,HRV,Croatia,15505.83,2010,6,2010-06-01
2010,5,23040090,21,275,SP,1,917800,13700,13700000,3824850,SOYBEAN MEAL,FRA,France,13700.0,2010,5,2010-05-01
2010,11,23040010,21,158,SP,7,1010900,24,24200,21640,SOYBEAN MEAL,CHL,Chile,24.2,2010,11,2010-11-01
2010,6,23040090,21,275,SP,1,917800,41799,41800000,12955001,SOYBEAN MEAL,FRA,France,41800.0,2010,6,2010-06-01
2010,12,23040090,21,246,RS,1,1017700,18849,18848648,7544423,SOYBEAN MEAL,SVN,Slovenia,18848.648,2010,12,2010-12-01
2010,12,23040010,21,069,MG,1,817800,185100,185100,146165,SOYBEAN MEAL,AUS,Australia,185.1,2010,12,2010-12-01
2010,3,23040090,21,776,PR,1,917800,20136,20135496,7768879,SOYBEAN MEAL,THA,Thailand,20135.496,2010,3,2010-03-01
2010,10,23040090,21,603,MT,1,817800,13683,13682895,5480667,SOYBEAN MEAL,POL,Poland,13682.895,2010,10,2010-10-01
2010,7,23040090,21,190,GO,1,917800,8500,8500000,2622675,SOYBEAN MEAL,KOR,South Korea,8500.0,2010,7,2010-07-01
2010,5,23040090,21,573,MT,1,927700,7666,7665927,2684011,SOYBEAN MEAL,NLD,Netherlands,7665.927,2010,5,2010-05-01
2010,5,23040090,21,195,RS,1,1017700,11157,11157240,3329148,SOYBEAN MEAL,HRV,Croatia,11157.24,2010,5,2010-05-01
2010,8,23040090,21,190,PR,1,917800,500,500000,153880,SOYBEAN MEAL,KOR,South Korea,500.0,2010,8,2010-08-01
2010,12,23040090,21,275,RS,1,1017700,49106,49106006,19220782,SOYBEAN MEAL,FRA,France,49106.006,2010,12,2010-12-01
2010,11,23040090,21,538,PR,1,927700,18318,18317590,7235448,SOYBEAN MEAL,NOR,Norway,18317.59,2010,11,2010-11-01
2010,10,23040090,21,190,PR,1,917800,13077,13076893,4835450,SOYBEAN MEAL,KOR,South Korea,13076.893,2010,10,2010-10-01
2010,1,23040090,21,023,MS,1,917800,2000,2000000,628760,SOYBEAN MEAL,DEU,Germany,2000.0,2010,1,2010-01-01
2010,5,23040090,21,573,PR,1,927700,20310,20309841,6832428,SOYBEAN MEAL,NLD,Netherlands,20309.841,2010,5,2010-05-01
2010,10,23040090,21,232,MT,1,817800,28888,28886975,10428198,SOYBEAN MEAL,DNK,Denmark,28886.975,2010,10,2010-10-01
2010,11,23040090,21,573,PR,1,927700,39834,39834005,18883762,SOYBEAN MEAL,NLD,Netherlands,39834.005,2010,11,2010-11-01
2010,8,23040090,21,246,SP,1,917800,1000,1000000,333230,SOYBEAN MEAL,SVN,Slovenia,1000.0,2010,8,2010-08-01
2010,6,23040090,21,275,MG,1,917800,3363,3362700,1041596,SOYBEAN MEAL,FRA,France,3362.7,2010,6,2010-06-01
2010,3,23040090,21,023,GO,1,917800,2000,2000000,665780,SOYBEAN MEAL,DEU,Germany,2000.0,2010,3,2010-03-01
2010,10,23040090,21,199,RS,1,1017700,22000,22000000,7416200,SOYBEAN MEAL,CUB,Cuba,22000.0,2010,10,2010-10-01
2010,1,23040090,21,573,PR,1,927700,8100,8100000,3402000,SOYBEAN MEAL,NLD,Netherlands,8100.0,2010,1,2010-01-01
2010,11,23040090,21,776,MT,1,917800,20542,20541987,8432485,SOYBEAN MEAL,THA,Thailand,20541.987,2010,11,2010-11-01
2010,3,23040090,21,573,MS,1,917800,4262,4262042,1644424,SOYBEAN MEAL,NLD,Netherlands,4262.042,2010,3,2010-03-01
2010,11,23040090,21,246,RS,1,1017700,78350,59350346,22386235,SOYBEAN MEAL,SVN,Slovenia,59350.346,2010,11,2010-11-01
2010,7,23040090,21,776,RS,1,1017700,16809,16808519,5289305,SOYBEAN MEAL,THA,Thailand,16808.519,2010,7,2010-07-01
2010,10,23040090,21,023,RS,1,1017700,24115,24115000,8466885,SOYBEAN MEAL,DEU,Germany,24115.0,2010,10,2010-10-01
2010,2,23040090,21,275,SP,1,917800,6000,6000000,2106000,SOYBEAN MEAL,FRA,France,6000.0,2010,2,2010-02-01
2010,8,23040090,21,199,RS,1,1017700,23658,23657538,7904631,SOYBEAN MEAL,CUB,Cuba,23657.538,2010,8,2010-08-01
2010,6,23040010,21,845,RS,7,1015600,108,108000,30240,SOYBEAN MEAL,URY,Uruguay,108.0,2010,6,2010-06-01
2010,8,23040090,21,573,MT,1,917800,4997,4996625,1880988,SOYBEAN MEAL,NLD,Netherlands,4996.625,2010,8,2010-08-01
2010,9,23040090,21,275,MS,1,917800,23746,23746830,7655706,SOYBEAN MEAL,FRA,France,23746.83,2010,9,2010-09-01
2010,2,23040090,21,275,PR,1,917800,17249,17248891,6508558,SOYBEAN MEAL,FRA,France,17248.891,2010,2,2010-02-01
2010,2,23040090,21,372,MG,1,917800,9332,9331595,3600409,SOYBEAN MEAL,IRN,Iran,9331.595,2010,2,2010-02-01
2010,3,23040090,21,245,RS,1,917800,1000,1000000,324080,SOYBEAN MEAL,ESP,Spain,1000.0,2010,3,2010-03-01
2010,4,23040090,21,246,RS,1,917800,1000,1000000,324080,SOYBEAN MEAL,SVN,Slovenia,1000.0,2010,4,2010-04-01
2010,2,23040090,21,246,MT,1,917800,1500,1500000,518355,SOYBEAN MEAL,SVN,Slovenia,1500.0,2010,2,2010-02-01
2010,2,23040090,21,246,SP,1,917800,1000,1000000,351000,SOYBEAN MEAL,SVN,Slovenia,1000.0,2010,2,2010-02-01
2010,2,23040090,21,301,MT,1,927700,2351,2350700,858006,SOYBEAN MEAL,GRC,Greece,2350.7,2010,2,2010-02-01
2010,4,23040090,21,275,SP,1,927700,2500,2500000,700000,SOYBEAN MEAL,FRA,France,2500.0,2010,4,2010-04-01
2010,6,23040090,21,776,MT,1,817800,41800,41800000,13755544,SOYBEAN MEAL,THA,Thailand,41800.0,2010,6,2010-06-01
2010,11,23040090,21,275,MT,1,927700,149,148720,60120,SOYBEAN MEAL,FRA,France,148.72,2010,11,2010-11-01
2010,10,23040090,21,232,GO,1,817800,8919,8918730,3460467,SOYBEAN MEAL,DNK,Denmark,8918.73,2010,10,2010-10-01
2010,11,23040010,21,069,MG,1,817800,211420,211420,166888,SOYBEAN MEAL,AUS,Australia,211.42,2010,11,2010-11-01
2010,5,23040090,21,823,GO,1,727600,3730,3730460,1151369,SOYBEAN MEAL,TCA,"Turks and Caicos, Islands",3730.46,2010,5,2010-05-01
2010,5,23040090,21,573,RS,1,1017700,46290,46290078,13411668,SOYBEAN MEAL,NLD,Netherlands,46290.078,2010,5,2010-05-01
2010,1,23040090,21,232,MT,1,227600,20233,20233314,9941639,SOYBEAN MEAL,DNK,Denmark,20233.314,2010,1,2010-01-01
2010,3,23040090,21,858,MS,1,817800,1239,1239270,480577,SOYBEAN MEAL,VNM,Vietnam,1239.27,2010,3,2010-03-01
2010,10,23040090,21,275,MT,1,917800,21973,21973729,8007159,SOYBEAN MEAL,FRA,France,21973.729,2010,10,2010-10-01
2010,7,23040090,21,573,RS,1,1017700,25205,25204924,7113873,SOYBEAN MEAL,NLD,Netherlands,25204.924,2010,7,2010-07-01
2010,10,23040010,21,845,RS,7,1015600,54,54000,18630,SOYBEAN MEAL,URY,Uruguay,54.0,2010,10,2010-10-01
2010,5,23040090,21,573,SP,1,917800,13100,13100000,3623703,SOYBEAN MEAL,NLD,Netherlands,13100.0,2010,5,2010-05-01
2010,5,23040090,21,375,MT,1,227600,18241,18241371,5434262,SOYBEAN MEAL,IRL,Ireland,18241.371,2010,5,2010-05-01
2010,12,23040090,21,573,MG,1,727600,9387,9387466,3481670,SOYBEAN MEAL,NLD,Netherlands,9387.466,2010,12,2010-12-01
2010,7,23040090,21,372,RS,1,917800,3680,3680200,1134191,SOYBEAN MEAL,IRN,Iran,3680.2,2010,7,2010-07-01
2010,1,23040090,21,573,GO,1,817800,8930,8929550,3691339,SOYBEAN MEAL,NLD,Netherlands,8929.55,2010,1,2010-01-01
2010,1,23040090,21,246,RS,1,1017700,32340,32340000,12249661,SOYBEAN MEAL,SVN,Slovenia,32340.0,2010,1,2010-01-01
2010,11,23040090,21,023,PR,1,917800,85520,85519730,35709239,SOYBEAN MEAL,DEU,Germany,85519.73,2010,11,2010-11-01
2010,5,23040090,21,023,MG,1,817800,1500,1500000,467100,SOYBEAN MEAL,DEU,Germany,1500.0,2010,5,2010-05-01
2010,10,23040090,21,023,BA,1,517600,39076,39074824,14177159,SOYBEAN MEAL,DEU,Germany,39074.824,2010,10,2010-10-01
2010,3,23040090,21,670,MT,1,917800,24973,24972820,8191647,SOYBEAN MEAL,ROU,Romania,24972.82,2010,3,2010-03-01
2010,11,23040090,21,573,GO,1,917800,1941,1941218,779811,SOYBEAN MEAL,NLD,Netherlands,1941.218,2010,11,2010-11-01
2010,8,23040010,21,097,RS,7,145200,1,1000,3350,SOYBEAN MEAL,BOL,Bolivia,1.0,2010,8,2010-08-01
2010,3,23040090,21,573,SP,1,917800,14000,14000000,4750900,SOYBEAN MEAL,NLD,Netherlands,14000.0,2010,3,2010-03-01
2010,5,23040090,21,190,RS,1,917800,2600,2600000,778102,SOYBEAN MEAL,KOR,South Korea,2600.0,2010,5,2010-05-01
2010,8,23040090,21,275,SP,1,927700,15765,15764566,5057746,SOYBEAN MEAL,FRA,France,15764.566,2010,8,2010-08-01
2010,7,23040090,21,858,MT,1,917800,31000,31000000,10311840,SOYBEAN MEAL,VNM,Vietnam,31000.0,2010,7,2010-07-01
2010,8,23040090,21,573,MS,1,817800,5200,5200000,1891552,SOYBEAN MEAL,NLD,Netherlands,5200.0,2010,8,2010-08-01
2010,7,23040090,21,023,SP,1,917800,5000,5000000,1555000,SOYBEAN MEAL,DEU,Germany,5000.0,2010,7,2010-07-01
2010,5,23040090,21,246,SP,1,917800,10000,10000000,2810000,SOYBEAN MEAL,SVN,Slovenia,10000.0,2010,5,2010-05-01
2010,6,23040090,21,245,MT,1,817800,4960,4959880,1537563,SOYBEAN MEAL,ESP,Spain,4959.88,2010,6,2010-06-01
2010,11,23040090,21,858,RS,1,1017700,27047,27047414,10384652,SOYBEAN MEAL,VNM,Vietnam,27047.414,2010,11,2010-11-01
2010,8,23040010,21,538,PR,1,917800,242,242083,192950,SOYBEAN MEAL,NOR,Norway,242.083,2010,8,2010-08-01
2010,5,23040090,21,053,MT,1,817800,10471,10471205,3000000,SOYBEAN MEAL,SAU,Saudi Arabia,10471.205,2010,5,2010-05-01
2010,9,23040090,21,776,PR,1,917800,10834,10833852,4127697,SOYBEAN MEAL,THA,Thailand,10833.852,2010,9,2010-09-01
2010,4,23040090,21,053,MT,1,817800,4970,4970250,1423976,SOYBEAN MEAL,SAU,Saudi Arabia,4970.25,2010,4,2010-04-01
2010,2,23040090,21,386,MS,1,917800,4201,4201485,1621059,SOYBEAN MEAL,ITA,Italy,4201.485,2010,2,2010-02-01
