Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,EGYPT,0,0,30000,30000,30000,30000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,UNKNOWN,0,0,1570500,281500,278500,1570500,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,CANADA,15998,42402,367806,18872,18465,410208,15459,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,MEXICO,23868,40418,182037,68919,68902,222455,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,GUATEMALA,0,0,92831,0,-3185,92831,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,BELIZE,0,0,500,0,0,500,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,HONDURAS,0,0,22800,0,0,22800,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,NICARAGUA,0,2565,1300,200,200,3865,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,COSTA RICA,3038,3038,0,0,3038,3038,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,PANAMA,0,0,40828,1375,1375,40828,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,JAMAICA,1842,6841,22200,42,42,29041,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,DOMINICAN REPUBLIC,0,0,158240,18500,18500,158240,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,200,0,0,200,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,TRINIDAD AND TOBAGO,1888,1888,4200,0,1888,6088,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,FRENCH WEST INDIES,200,200,9780,0,-2020,9980,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,COLOMBIA,0,0,82442,600,600,82442,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,VENEZUELA,3000,9000,23500,21500,21500,32500,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,SURINAM,0,0,1200,0,0,1200,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,PERU,22000,22000,36000,11500,6000,58000,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,UNITED KINGDOM,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,IRELAND,7319,7319,59681,0,0,67000,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,FRANCE,0,0,20500,0,0,20500,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,GERMANY,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,TURKEY,0,0,63000,0,0,63000,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,SYRIA,0,0,22500,0,0,22500,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,BANGLADESH,0,0,31,0,0,31,0,0,1
