Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANS,2009-10-01,5,02-O,2010,COSTA RICA,9257,9257,17000,257,257,26257,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,PANAMA,0,0,1000,0,0,1000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,CUBA,0,8061,21000,0,0,29061,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,DOMINICAN REPUBLIC,0,0,18000,0,0,18000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,BARBADOS,0,3548,4500,0,0,8048,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,COLOMBIA,1561,7142,73446,0,-173,80588,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,VENEZUELA,0,0,4648,0,0,4648,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,PERU,0,0,33000,0,0,33000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,FINLAND,0,0,113,0,0,113,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,UNITED KINGDOM,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,IRELAND,0,0,6000,0,0,6000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,NETHERLANDS,0,0,58000,0,0,58000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,BELGIUM-LUXEMBOURG,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,FRANCE,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,SWITZERLAND,0,0,15000,10000,10000,15000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,SPAIN,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,ITALY,82,225,60000,82,82,60225,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,TURKEY,0,0,56000,18000,18000,56000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,SYRIA,0,16568,34773,0,0,51341,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,IRAN,0,0,63000,0,0,63000,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,THAILAND,62435,63322,217167,7950,66950,280489,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,VIETNAM,0,1725,9585,1200,1200,11310,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,MALAYSIA,0,22438,21253,5001,5001,43691,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,SINGAPORE,1361,3313,7187,0,0,10500,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,INDONESIA,6173,25782,132823,1035,1035,158605,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,PHILIPPINES,75,75,12150,100,100,12225,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,"CHINA, PEOPLES REPUBLIC OF",173130,639663,11864763,228766,219630,12504426,9000,0,1
SOYBEANS,2009-10-01,5,02-O,2010,"KOREA, REPUBLIC OF",0,0,172544,0,0,172544,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,TAIWAN,2589,19301,373503,7937,7937,392804,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,JAPAN,61004,164942,763101,34089,88084,928043,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,EGYPT,0,9345,153000,0,0,162345,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,UNKNOWN,0,0,4316958,66000,-43000,4316958,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,CANADA,25041,35726,145316,8164,7618,181042,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,MEXICO,119836,198949,510874,60027,59847,709823,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,GUATEMALA,0,6192,44618,0,0,50810,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,COSTA RICA,0,9257,17000,0,0,26257,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,PANAMA,0,0,1000,0,0,1000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,CUBA,0,8061,21000,0,0,29061,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,DOMINICAN REPUBLIC,0,0,30500,12500,12500,30500,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,BARBADOS,0,3548,4500,0,0,8048,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,COLOMBIA,5500,12642,85826,17880,17880,98468,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,VENEZUELA,2200,2200,2448,0,0,4648,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,PERU,0,0,33000,0,0,33000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,FINLAND,0,0,113,0,0,113,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,UNITED KINGDOM,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,IRELAND,0,0,6000,0,0,6000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,NETHERLANDS,0,0,58000,0,0,58000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,BELGIUM-LUXEMBOURG,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,FRANCE,0,0,120000,60000,60000,120000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,GERMANY,20876,20876,0,0,20876,20876,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,SWITZERLAND,0,0,15000,0,0,15000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,SPAIN,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,ITALY,21,246,60000,21,21,60246,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,TURKEY,0,0,56000,0,0,56000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,SYRIA,0,16568,34773,0,0,51341,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,IRAN,0,0,63000,0,0,63000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,SAUDI ARABIA,0,0,55000,0,55000,55000,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,THAILAND,0,63322,223377,6210,6210,286699,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,VIETNAM,1295,3020,9800,1510,1510,12820,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,MALAYSIA,280,22718,20973,0,0,43691,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,SINGAPORE,0,3313,14187,7000,7000,17500,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,INDONESIA,548,26330,146235,13960,13960,172565,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,PHILIPPINES,0,75,12500,350,350,12575,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,"CHINA, PEOPLES REPUBLIC OF",369083,1008746,11679763,239357,184083,12688509,9000,0,1
SOYBEANS,2009-10-08,6,02-O,2010,"KOREA, REPUBLIC OF",28592,28592,175734,3190,31782,204326,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,TAIWAN,2625,21926,547039,176161,176161,568965,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,JAPAN,2615,167557,778726,18240,18240,946283,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,TUNISIA,26810,26810,0,1810,26810,26810,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,EGYPT,0,9345,153000,0,0,162345,0,0,1
SOYBEANS,2009-10-08,6,02-O,2010,UNKNOWN,0,0,4271658,88200,-45300,4271658,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,CANADA,35494,71220,112084,27262,2262,183304,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,MEXICO,39373,238322,564368,116256,92867,802690,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,GUATEMALA,0,6192,37000,1496,-7618,43192,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,COSTA RICA,10564,19821,9500,1450,3064,29321,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,PANAMA,0,0,1000,0,0,1000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,CUBA,0,8061,24000,8000,3000,32061,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,DOMINICAN REPUBLIC,0,0,0,0,-30500,0,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,BARBADOS,0,3548,4500,0,0,8048,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,COLOMBIA,5704,18346,42600,518,-37522,60946,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,VENEZUELA,18000,20200,22448,20000,38000,42648,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,PERU,0,0,5000,0,-28000,5000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,FINLAND,0,0,113,0,0,113,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,UNITED KINGDOM,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,IRELAND,3008,3008,2992,0,0,6000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,NETHERLANDS,0,0,58000,0,0,58000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,BELGIUM-LUXEMBOURG,18257,18257,60000,0,18257,78257,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,FRANCE,0,0,120000,0,0,120000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,GERMANY,0,20876,0,0,0,20876,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,SWITZERLAND,0,0,15000,0,0,15000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,SPAIN,38486,38486,60204,38690,38690,98690,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,ITALY,30000,30246,60000,30000,30000,90246,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,TURKEY,0,0,56000,956,0,56000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,SYRIA,0,16568,34773,0,0,51341,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,IRAN,0,0,63000,0,0,63000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,SAUDI ARABIA,0,0,55000,0,0,55000,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,THAILAND,213,63535,226164,3000,3000,289699,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,VIETNAM,0,3020,9800,0,0,12820,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,MALAYSIA,1553,24271,19420,0,0,43691,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,SINGAPORE,0,3313,15187,1000,1000,18500,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,INDONESIA,3945,30275,147090,4800,4800,177365,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,PHILIPPINES,0,75,13300,800,800,13375,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,"CHINA, PEOPLES REPUBLIC OF",540183,1548929,11881054,666006,741474,13429983,9000,0,1
SOYBEANS,2009-10-15,7,02-O,2010,"KOREA, REPUBLIC OF",40,28632,196434,20740,20740,225066,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,TAIWAN,61723,83649,492108,6792,6792,575757,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,JAPAN,49860,217417,771965,43100,43099,989382,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,TUNISIA,0,26810,0,0,0,26810,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,EGYPT,0,9345,153000,0,0,162345,0,0,1
SOYBEANS,2009-10-15,7,02-O,2010,UNKNOWN,0,0,4314758,292100,43100,4314758,0,0,1
SOYBEANS,2009-10-22,8,02-O,2010,CANADA,28563,99783,84453,932,932,184236,0,0,1
SOYBEANS,2009-10-22,8,02-O,2010,MEXICO,149198,387520,456965,41984,41795,844485,0,0,1
SOYBEANS,2009-10-22,8,02-O,2010,GUATEMALA,0,6192,42440,5440,5440,48632,0,0,1
SOYBEANS,2009-10-22,8,02-O,2010,COSTA RICA,0,19821,9500,0,0,29321,0,0,1
